NAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,
New cases,385,379,342,440,486,344,408,416,445,420,395,526,434,513,494,665,574,546,581,593,562,631,688,632,699,622,713,692,,,,,,,,,,,,,,,,,,,,
Completed cases,,,,,,,,,456,485,543,503,504,477,561,531,474,537,570,567,588,574,638,595,701,719,616,704,,,,,,,,,,,,,,,,,,,,
Cases pending,,,,,,,,,683,748,896,873,943,907,974,840,740,731,742,768,742,799,849,886,884,787,884,872,,,,,,,,,,,,,,,,,,,,
Little's_law/Clark_duration,,,,,,,,,1.49780701754386,1.54226804123711,1.65009208103131,1.73558648111332,1.87103174603175,1.90146750524109,1.73618538324421,1.5819209039548,1.56118143459916,1.36126629422719,1.30175438596491,1.35449735449735,1.26190476190476,1.39198606271777,1.3307210031348,1.4890756302521,1.26105563480742,1.09457579972184,1.43506493506494,1.23863636363636,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17.9736842105263,18.5072164948454,19.8011049723757,20.8270377733598,22.452380952381,22.8176100628931,20.8342245989305,18.9830508474576,18.7341772151899,16.3351955307263,15.6210526315789,16.2539682539683,15.1428571428571,16.7038327526132,15.9686520376176,17.8689075630252,15.132667617689,13.134909596662,17.2207792207792,14.8636363636364,,,,,,,,,,,,,,,,,,,,
Judgements delivered,188,193,204,210,203,188,172,193,242,254,235,273,244,269,308,375,362,351,397,390,412,406,444,406,491,482,438,454,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURATION OF ECJ's PROCEEDINGS IN MONTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References for a preliminary ruling,,,,,,,,,,21.4,21.2,21.6,22.7,24.1,25.5,23.5,20.4,19.8,19.3,16.8,17.1,16.1,16.4,15.6,16.3,15,15.3,15,,,,,,,,,,,,,,,,,,,,
Urgent preliminary ruling procedure,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.5,1.9,2.2,2.2,1.9,2.7,,,,,,,,,,,,,,,,,,,,
Direct actions,,,,,,,,,,21,23,23.9,23.1,24.3,24.7,20.2,21.3,20,18.2,16.9,17.1,16.7,20.2,19.7,24.3,20,17.6,19.3,,,,,,,,,,,,,,,,,,,,
Appeals,,,,,,,,,,20.3,23,19,16.3,19.1,28.7,21.3,20.9,17.8,17.8,18.4,15.4,14.3,15.4,15.2,16.6,14.5,14,12.9,,,,,,,,,,,,,,,,,,,,
New competition cases,,,,,,,,,24,28,29,22,30,13,21,33,10,32,31,10,17,20,60,30,39,23,40,35,,,,,,,,,,,,,,,,,,,,
Completed competition cases,,,,,,,,,12,15,28,40,18,13,13,29,17,30,17,23,28,13,19,30,42,28,23,30,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC all YEAR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,
New cases,169,59,95,123,596,409,253,229,644,238,384,398,345,411,466,536,469,432,522,629,568,636,722,617,790,912,831,974,,,,,,,,,,,,,,,,,,,,
Completed cases,1,82,67,125,106,442,265,186,186,348,659,343,340,331,339,361,610,436,397,605,555,527,714,688,702,814,987,755,,,,,,,,,,,,,,,,,,,,
GC Cases pending,168,145,173,171,661,628,616,659,1117,1007,732,787,792,872,999,1174,1033,1029,1154,1178,1191,1300,1308,1237,1325,1423,1267,1486,,,,,,,,,,,,,,,,,,,,
